Layer,M,N,K,Active_Pairs,Bottleneck,GEMM_Time_ms,Gather_GEMM_Ratio,Gather_Time_ms,Kernel_Size,Num_MACs,Total_Time_ms
conv0,400000,32,4,400000,memory_gather,0.00128,16.129032258064516,0.02064516129032258,3,51200000,0.02192516129032258
encoder_stage_1,400000,64,32,400000,memory_gather,0.02048,8.064516129032258,0.16516129032258065,3,819200000,0.18564129032258062
encoder_stage_2,400000,128,64,400000,memory_gather,0.08192,4.032258064516129,0.3303225806451613,3,3276800000,0.4122425806451612
encoder_stage_3,400000,256,128,400000,memory_gather,0.32768,2.0161290322580645,0.6606451612903226,3,13107200000,0.9883251612903227
encoder_stage_4,400000,512,256,400000,memory_gather,1.31072,1.0080645161290323,1.3212903225806452,3,52428800000,2.632010322580645
decoder_stage_1,400000,256,512,400000,memory_gather,1.31072,2.0161290322580645,2.6425806451612903,3,52428800000,3.9533006451612906
decoder_stage_2,400000,128,256,400000,memory_gather,0.32768,4.032258064516129,1.3212903225806452,3,13107200000,1.648970322580645
decoder_stage_3,400000,64,128,400000,memory_gather,0.08192,8.064516129032258,0.6606451612903226,3,3276800000,0.7425651612903225
decoder_stage_4,400000,32,64,400000,memory_gather,0.02048,16.129032258064516,0.3303225806451613,3,819200000,0.3508025806451613
classification_head,100000,20,32,100000,memory_gather,0.0015999999999999999,25.806451612903224,0.04129032258064516,1,64000000,0.04289032258064516
